Symbol,Name
GS,"The Goldman Sachs Group, Inc."
MSFT,Microsoft Corporation
HD,"The Home Depot, Inc."
V,Visa Inc.
SHW,Sherwin-Williams
CAT,Caterpillar Inc.
MCD,McDonald's Corporation
UNH,UnitedHealth Group Incorporated
AXP,American Express Company
AMGN,Amgen Inc.
TRV,"The Travelers Companies, Inc."
CRM,"Salesforce, Inc."
JPM,JPMorgan Chase & Co.
IBM,International Business Machines Corporation
HON,Honeywell International Inc.
BA,The Boeing Company
AMZN,"Amazon.com, Inc.amazon.com"
AAPL,Apple Inc.
PG,The Procter & Gamble Company
JNJ,Johnson & Johnson
MMM,3M Company
CVX,Chevron Corporation
NVDA,Nvidia
DIS,The Walt Disney Company
WMT,Walmart Inc.
MRK,"Merck & Co., Inc."
KO,The Coca-Cola Company
CSCO,"Cisco Systems, Inc."
NKE,"Nike, Inc."
VZ,Verizon Communications Inc.
