Symbol,Name
GS,"The Goldman Sachs Group, Inc."
CAT,Caterpillar Inc.
MSFT,Microsoft Corporation
HD,"The Home Depot, Inc."
SHW,Sherwin-Williams
AXP,American Express Company
AMGN,Amgen Inc.
V,Visa Inc.
MCD,McDonald's Corporation
IBM,International Business Machines Corporation
JPM,JPMorgan Chase & Co.
UNH,UnitedHealth Group Incorporated
TRV,"The Travelers Companies, Inc."
AAPL,Apple Inc.
AMZN,"Amazon.com, Inc.amazon.com"
BA,The Boeing Company
HON,Honeywell International Inc.
JNJ,Johnson & Johnson
CRM,"Salesforce, Inc."
NVDA,Nvidia
CVX,Chevron Corporation
MMM,3M Company
PG,The Procter & Gamble Company
WMT,Walmart Inc.
DIS,The Walt Disney Company
MRK,"Merck & Co., Inc."
CSCO,"Cisco Systems, Inc."
KO,The Coca-Cola Company
NKE,"Nike, Inc."
VZ,Verizon Communications Inc.
