Symbol,Name
NVDA,Nvidia
MSFT,Microsoft
AAPL,Apple Inc.
AMZN,Amazon
META,Meta Platforms
AVGO,Broadcom Inc.
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
TSLA,"Tesla, Inc."
NFLX,Netflix
COST,Costco
PLTR,Palantir Technologies
AMD,Advanced Micro Devices Inc.
ASML,ASML Holding
TMUS,T-Mobile US
CSCO,Cisco
AZN,AstraZeneca
INTU,Intuit
LIN,Linde plc
PEP,PepsiCo
BKNG,Booking Holdings
ISRG,Intuitive Surgical
TXN,Texas Instruments
QCOM,Qualcomm
AMGN,Amgen
PDD,PDD Holdings
SHOP,Shopify
ADBE,Adobe Inc.
ARM,Arm Holdings
AMAT,Applied Materials
GILD,Gilead Sciences
HON,Honeywell
APP,Applovin Corp
LRCX,Lam Research
ADP,ADP
MELI,MercadoLibre
CMCSA,Comcast
VRTX,Vertex Pharmaceuticals
MU,Micron Technology
KLAC,KLA Corporation
PANW,Palo Alto Networks
SNPS,Synopsys
CRWD,CrowdStrike
ADI,Analog Devices
CEG,Constellation Energy
DASH,DoorDash
MSTR,MicroStrategy Inc.
SBUX,Starbucks
CDNS,Cadence Design Systems
TRI,Thomson Reuters
CTAS,Cintas
INTC,Intel
ORLY,O'Reilly Automotive
MDLZ,Mondelez International
ABNB,Airbnb
FTNT,Fortinet
MAR,Marriott International
CSX,CSX Corporation
MRVL,Marvell Technology
PYPL,PayPal
ADSK,Autodesk
AEP,American Electric Power
WDAY,"Workday, Inc."
REGN,Regeneron Pharmaceuticals
ROP,Roper Technologies
AXON,Axon Enterprise Inc.
MNST,Monster Beverage
NXPI,NXP Semiconductors
FAST,Fastenal
PCAR,Paccar
PAYX,Paychex
TEAM,Atlassian
DDOG,Datadog
KDP,Keurig Dr Pepper
EXC,Exelon
ROST,Ross Stores
CCEP,Coca-Cola Europacific Partners
CPRT,Copart
ZS,Zscaler
XEL,Xcel Energy
IDXX,Idexx Laboratories
BKR,Baker Hughes
FANG,Diamondback Energy
TTD,Trade Desk (The)
TTWO,Take-Two Interactive
CSGP,CoStar Group
EA,Electronic Arts
VRSK,Verisk
CHTR,Charter Communications
MCHP,Microchip Technology
CTSH,Cognizant
KHC,Kraft Heinz
GEHC,GE HealthCare
WBD,Warner Bros. Discovery
DXCM,DexCom
ODFL,Old Dominion Freight Line
ON,Onsemi
LULU,Lululemon Athletica
CDW,CDW Corporation
GFS,GlobalFoundries
BIIB,Biogen
