Symbol,Name
GS,"The Goldman Sachs Group, Inc."
MSFT,Microsoft Corporation
CAT,Caterpillar Inc.
HD,"The Home Depot, Inc."
SHW,Sherwin-Williams
V,Visa Inc.
MCD,McDonald's Corporation
AMGN,Amgen Inc.
AXP,American Express Company
JPM,JPMorgan Chase & Co.
TRV,"The Travelers Companies, Inc."
CRM,"Salesforce, Inc."
IBM,International Business Machines Corporation
UNH,UnitedHealth Group Incorporated
BA,The Boeing Company
HON,Honeywell International Inc.
AMZN,"Amazon.com, Inc.amazon.com"
AAPL,Apple Inc.
NVDA,Nvidia
JNJ,Johnson & Johnson
CVX,Chevron Corporation
PG,The Procter & Gamble Company
MMM,3M Company
DIS,The Walt Disney Company
WMT,Walmart Inc.
MRK,"Merck & Co., Inc."
NKE,"Nike, Inc."
KO,The Coca-Cola Company
CSCO,"Cisco Systems, Inc."
VZ,Verizon Communications Inc.
