Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
META,Meta Platforms
AVGO,Broadcom Inc.
TSLA,"Tesla, Inc."
WMT,Walmart
ASML,ASML Holding
MU,Micron Technology
COST,Costco
NFLX,Netflix
PLTR,Palantir Technologies
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AMAT,Applied Materials
LRCX,Lam Research
TMUS,T-Mobile US
LIN,Linde plc
PEP,PepsiCo
INTC,Intel
AMGN,Amgen
KLAC,KLA Corporation
TXN,Texas Instruments
GILD,Gilead Sciences
ISRG,Intuitive Surgical
ADI,Analog Devices
SHOP,Shopify
HON,Honeywell
QCOM,Qualcomm
PDD,PDD Holdings
APP,Applovin Corp
ARM,Arm Holdings
BKNG,Booking Holdings
VRTX,Vertex Pharmaceuticals
PANW,Palo Alto Networks
CEG,Constellation Energy
INTU,Intuit
SBUX,Starbucks
CMCSA,Comcast
ADBE,Adobe Inc.
WDC,Western Digital
CRWD,CrowdStrike
MAR,Marriott International
MELI,MercadoLibre
STX,Seagate Technology Holdings
ADP,ADP
MNST,Monster Beverage
REGN,Regeneron Pharmaceuticals
CDNS,Cadence Design Systems
ABNB,Airbnb
CTAS,Cintas
CSX,CSX Corporation
SNPS,Synopsys
ORLY,O'Reilly Automotive
MDLZ,Mondelez International
DASH,DoorDash
AEP,American Electric Power
WBD,Warner Bros. Discovery
MRVL,Marvell Technology
ROST,Ross Stores
PCAR,Paccar
BKR,Baker Hughes
FTNT,Fortinet
NXPI,NXP Semiconductors
MPWR,Monolithic Power Systems
FER,Ferrovial SE
FAST,Fastenal
IDXX,Idexx Laboratories
ADSK,Autodesk
EXC,Exelon
EA,Electronic Arts
FANG,Diamondback Energy
CCEP,Coca-Cola Europacific Partners
XEL,Xcel Energy
ALNY,Alnylam Pharmaceuticals
AXON,Axon Enterprise Inc.
MSTR,MicroStrategy Inc.
TRI,Thomson Reuters Corporation
PYPL,PayPal
ODFL,Old Dominion Freight Line
KDP,Keurig Dr Pepper
MCHP,Microchip Technology
DDOG,Datadog
TTWO,Take-Two Interactive
GEHC,GE HealthCare
ROP,Roper Technologies
CPRT,Copart
WDAY,"Workday, Inc."
PAYX,Paychex
INSM,Insmed Incorporated
CTSH,Cognizant
CHTR,Charter Communications
KHC,Kraft Heinz
VRSK,Verisk
DXCM,DexCom
ZS,Zscaler
TEAM,Atlassian
CSGP,CoStar Group
